eu,::/128
us,2001:4:112::/48
jp,2001:200::/40
jp,2001:200:100::/43
jp,2001:200:120::/44
jp,2001:200:130::/46
jp,2001:200:134::/48
us,2001:200:135::/48
jp,2001:200:136::/47
jp,2001:200:138::/45
jp,2001:200:140::/43
jp,2001:200:160::/44
jp,2001:200:170::/45
jp,2001:200:178::/47
us,2001:200:17a::/47
jp,2001:200:17c::/46
jp,2001:200:180::/41
jp,2001:200:200::/39
jp,2001:200:400::/38
jp,2001:200:800::/37
jp,2001:200:1000::/36
jp,2001:200:2000::/35
jp,2001:200:4000::/34
jp,2001:200:8000::/33
au,2001:201::/32
au,2001:202::/31
au,2001:204::/30
sg,2001:208::/32
au,2001:209::/32
au,2001:20a::/31
au,2001:20c::/30
au,2001:210::/29
jp,2001:218::/35
jp,2001:218:2000::/61
jp,2001:218:2000:8::/62
jp,2001:218:2000:c::/64
nl,2001:218:2000:d::/64
jp,2001:218:2000:e::/63
jp,2001:218:2000:10::/60
jp,2001:218:2000:20::/59
jp,2001:218:2000:40::/58
jp,2001:218:2000:80::/57
jp,2001:218:2000:100::/56
jp,2001:218:2000:200::/55
jp,2001:218:2000:400::/54
jp,2001:218:2000:800::/53
jp,2001:218:2000:1000::/52
jp,2001:218:2000:2000::/51
jp,2001:218:2000:4000::/50
jp,2001:218:2000:8000::/49
jp,2001:218:2001::/48
jp,2001:218:2002::/47
jp,2001:218:2004::/46
jp,2001:218:2008::/46
jp,2001:218:200c::/47
jp,2001:218:200e::/48
jp,2001:218:200f::/64
nl,2001:218:200f:1::/64
jp,2001:218:200f:2::/63
jp,2001:218:200f:4::/62
jp,2001:218:200f:8::/61
jp,2001:218:200f:10::/60
jp,2001:218:200f:20::/59
jp,2001:218:200f:40::/58
jp,2001:218:200f:80::/57
jp,2001:218:200f:100::/56
jp,2001:218:200f:200::/55
jp,2001:218:200f:400::/54
jp,2001:218:200f:800::/53
jp,2001:218:200f:1000::/52
jp,2001:218:200f:2000::/51
jp,2001:218:200f:4000::/50
jp,2001:218:200f:8000::/49
jp,2001:218:2010::/44
jp,2001:218:2020::/43
jp,2001:218:2040::/42
jp,2001:218:2080::/41
jp,2001:218:2100::/40
jp,2001:218:2200::/39
jp,2001:218:2400::/38
jp,2001:218:2800::/37
jp,2001:218:3000::/62
nl,2001:218:3000:4::/64
jp,2001:218:3000:5::/64
jp,2001:218:3000:6::/63
jp,2001:218:3000:8::/61
jp,2001:218:3000:10::/60
jp,2001:218:3000:20::/59
jp,2001:218:3000:40::/58
jp,2001:218:3000:80::/57
jp,2001:218:3000:100::/56
jp,2001:218:3000:200::/55
jp,2001:218:3000:400::/54
jp,2001:218:3000:800::/53
jp,2001:218:3000:1000::/52
jp,2001:218:3000:2000::/51
jp,2001:218:3000:4000::/50
jp,2001:218:3000:8000::/49
jp,2001:218:3001::/48
jp,2001:218:3002::/47
jp,2001:218:3004::/48
nl,2001:218:3005::/48
jp,2001:218:3006::/47
jp,2001:218:3008::/45
jp,2001:218:3010::/44
